CL_ID,CL_Label
CL:1000341,enterocyte of epithelium proper of jejunum
CL:1000342,enterocyte of epithelium proper of ileum
CL:1000343,paneth cell of epithelium of small intestine
CL:1000344,paneth cell of epithelium proper of small intestine
CL:1000345,paneth cell of epithelium of crypt of Lieberkuhn of small intestine
CL:1000346,enterocyte of epithelium proper of large intestine
CL:1000347,colonocyte
CL:1000349,basal cell of epithelium of bronchus
CL:1000353,microfold cell of epithelium of small intestine
CL:1000354,microfold cell of epithelium of intestinal villus
CL:1000355,microfold cell of epithelium proper of small intestine
CL:1000356,microfold cell of epithelium proper of duodenum
CL:1000357,microfold cell of epithelium proper of jejunum
CL:1000358,microfold cell of epithelium proper of ileum
CL:1000359,microfold cell of epithelium proper of appendix
CL:0000082,epithelial cell of lung
CL:0000083,epithelial cell of pancreas
CL:0000155,peptic cell
CL:0000158,club cell
CL:0000162,parietal cell
CL:0000169,type B pancreatic cell
CL:0000171,pancreatic A cell
CL:0000173,pancreatic D cell
CL:0000209,taste receptor cell
CL:0000307,tracheal epithelial cell
CL:0000322,pulmonary alveolar epithelial cell
CL:0000446,chief cell of parathyroid gland
CL:0000510,paneth cell
CL:0000584,enterocyte
CL:0000682,M cell of gut
CL:0000853,olfactory epithelial supporting cell
CL:0002062,pulmonary alveolar type 1 cell
CL:0002063,pulmonary alveolar type 2 cell
CL:0002064,pancreatic acinar cell
CL:0002071,enterocyte of epithelium of large intestine
CL:0002075,brush cell of tracheobronchial tree
CL:0002076,endo-epithelial cell
CL:0002079,pancreatic ductal cell
CL:0002080,pancreatic centro-acinar cell
CL:0002141,active chief cell of parathyroid gland
CL:0002143,dark chief cell of parathyroid gland
CL:0002145,multiciliated columnar cell of tracheobronchial tree
CL:0002147,clear chief cell of parathyroid gland
CL:0002162,internal epithelial cell of tympanic membrane
CL:0002169,basal cell of olfactory epithelium
CL:0002170,keratinized cell of the oral mucosa
CL:0002171,globose cell of olfactory epithelium
CL:0002178,epithelial cell of stomach
CL:0002179,foveolar cell of stomach
CL:0002180,mucous cell of stomach
CL:0002181,mucous neck cell of gastric gland
CL:0002183,stem cell of gastric gland
CL:0002184,basal proper cell of olfactory epithelium
CL:0002197,inactive chief cell of parathyoid gland
CL:0002198,oncocyte
CL:0002199,oxyphil cell of parathyroid gland
CL:0002200,oxyphil cell of thyroid
CL:0002202,epithelial cell of tracheobronchial tree
CL:0002203,brush cell of epithelium proper of large intestine
CL:0002204,brush cell
CL:0002205,brush cell of lobular bronchiole
CL:0002206,brush cell of terminal bronchiole
CL:0002207,brush cell of trachea
CL:0002208,brush cell of bronchus
CL:0002209,intermediate epitheliocyte
CL:0002221,keratinized squamous cell of esophagus
CL:0002229,light chief cell of parathyroid gland
CL:0002231,epithelial cell of prostate
CL:0002232,epithelial cell of prostatic duct
CL:0002233,epithelial cell of prostatic acinus
CL:0002234,basal cell of prostatic acinus
CL:0002235,luminal cell of prostatic acinus
CL:0002236,basal epithelial cell of prostatic duct
CL:0002237,luminal epithelial cell of prostatic duct
CL:0002250,intestinal crypt stem cell
CL:0002251,epithelial cell of alimentary canal
CL:0002252,epithelial cell of esophagus
CL:0002253,epithelial cell of large intestine
CL:0002254,epithelial cell of small intestine
CL:0002257,epithelial cell of thyroid gland
CL:0002258,thyroid follicular cell
CL:0002260,epithelial cell of parathyroid gland
CL:0002261,endothelial cell of viscerocranial mucosa
CL:0002263,transitional cell of parathyroid gland
CL:0002264,type A cell of stomach
CL:0002265,type D cell of colon
CL:0002266,type D cell of small intestine
CL:0002267,type D cell of stomach
CL:0002275,pancreatic PP cell
CL:0002278,GIP cell
CL:0002285,type III taste bud cell
CL:0002286,type II taste cell
CL:0002287,type IV taste receptor cell
CL:0002288,type V taste receptor cell
CL:0002289,type I taste bud cell
CL:0002293,epithelial cell of thymus
CL:0002294,type-1 epithelial cell of thymus
CL:0002295,type-6 epithelial cell of thymus
CL:0002296,type-4 epithelial cell of thymus
CL:0002297,type-3 epithelial cell of thymus
CL:0002298,type-5 epithelial cell of thymus
CL:0002299,type-2 epithelial cell of thymus
CL:0002300,type-7 epithelial cell of thymus
CL:0002328,bronchial epithelial cell
CL:0002329,basal epithelial cell of tracheobronchial tree
CL:0002330,undifferentiated cell of bronchus epithelium
CL:0002332,multiciliated epithelial cell of the bronchus
CL:0002336,buccal mucosa cell
CL:0002339,prostate stem cell
CL:0002340,luminal cell of prostate epithelium
CL:0002341,basal cell of prostate epithelium
CL:0002364,cortical thymic epithelial cell
CL:0002365,medullary thymic epithelial cell
CL:0002368,respiratory tract epithelial cell
CL:0002370,respiratory tract goblet cell
